,OHX23CJS,,Loss of Attachment: Lower left lateral incisor (LI) mesio-facial - FGM to CEJ measurement (mm),x,,
,OHX23CJP,,Loss of Attachment: Lower left lateral incisor (LI) distal - lingual - FGM to CEJ measurement (mm),x,,
,OHX23CJL,,Loss of Attachment: Lower left lateral incisor (LI) mid- lingual - FGM to CEJ measurement (mm),x,,
,OHX23CJA,,Loss of Attachment: Lower left lateral incisor (LI) mesio- lingual - FGM to CEJ measurement (mm),x,,
,OHX23PCD,,Loss of Attachment: Lower left lateral incisor (LI) distal - FGM to sulcus base (pocket depth) (mm),x,,
,OHX23PCM,,Loss of Attachment: Lower left lateral incisor (LI) mid-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX23PCS,,Loss of Attachment: Lower left lateral incisor (LI) mesio-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX23PCP,,Loss of Attachment: Lower left lateral incisor (LI) distal - lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX23PCL,,Loss of Attachment: Lower left lateral incisor (LI) mid- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX23PCA,,Loss of Attachment: Lower left lateral incisor (LI) mesio- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX23LAD,,Loss of Attachment: Lower left lateral incisor (LI) distal - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX23LAM,,Loss of Attachment: Lower left lateral incisor (LI) mid-facial - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX23LAS,,Loss of Attachment: Lower left lateral incisor (LI) mesio-facial - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX23LAP,,Loss of Attachment: Lower left lateral incisor (LI) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX23LAL,,Loss of Attachment: Lower left lateral incisor (LI) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX23LAA,,Loss of Attachment: Lower left lateral incisor (LI) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX24CJD,,Loss of Attachment: Lower left central incisor (CI) distal - FGM to CEJ measurement (mm),x,,
,OHX24CJM,,Loss of Attachment: Lower left central incisor (CI) mid-facial - FGM to CEJ measurement (mm),x,,
,OHX24CJS,,Loss of Attachment: Lower left central incisor (CI) mesio-facial - FGM to CEJ measurement (mm),x,,
,OHX24CJP,,Loss of Attachment: Lower left central incisor (CI) distal - lingual - FGM to CEJ measurement (mm),x,,
,OHX24CJL,,Loss of Attachment: Lower left central incisor (CI) mid- lingual - FGM to CEJ measurement (mm),x,,
,OHX24CJA,,Loss of Attachment: Lower left central incisor (CI) mesio- lingual - FGM to CEJ measurement (mm),x,,
,OHX24PCD,,Loss of Attachment: Lower left central incisor (CI) distal - FGM to sulcus base (pocket depth) (mm),x,,
,OHX24PCM,,Loss of Attachment: Lower left central incisor (CI) mid-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX24PCS,,Loss of Attachment: Lower left central incisor (CI) mesio-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX24PCP,,Loss of Attachment: Lower left central incisor (CI) distal - lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX24PCL,,Loss of Attachment: Lower left central incisor (CI) mid- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX24PCA,,Loss of Attachment: Lower left central incisor (CI) mesio- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX24LAD,,Loss of Attachment: Lower left central incisor (CI) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX24LAM,,Loss of Attachment: Lower left central incisor (CI) mid-facial - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX24LAS,,Loss of Attachment: Lower left central incisor (CI) mesio-facial - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX24LAP,,Loss of Attachment: Lower left central incisor (CI) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX24LAL,,Loss of Attachment: Lower left central incisor (CI) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX24LAA,,Loss of Attachment: Lower left central incisor (CI) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX25CJD,,Loss of Attachment: Lower right central incisor (CI) distal - FGM to CEJ measurement (mm),x,,
,OHX25CJM,,Loss of Attachment: Lower right central incisor (CI) mid-facial - FGM to CEJ measurement (mm),x,,
,OHX25CJS,,Loss of Attachment: Lower right central incisor (CI) mesio-facial - FGM to CEJ measurement (mm),x,,
,OHX25CJP,,Loss of Attachment: Lower right central incisor (CI) distal - lingual - FGM to CEJ measurement (mm),x,,
,OHX25CJL,,Loss of Attachment: Lower right central incisor (CI) mid- lingual - FGM to CEJ measurement (mm),x,,
,OHX25CJA,,Loss of Attachment: Lower right central incisor (CI) mesio- lingual - FGM to CEJ measurement (mm),x,,
,OHX25PCD,,Loss of Attachment: Lower right central incisor (CI) distal - FGM to sulcus base (pocket depth) (mm),x,,
,OHX25PCM,,Loss of Attachment: Lower right central incisor (CI) mid-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX25PCS,,Loss of Attachment: Lower right central incisor (CI) mesio-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX25PCP,,Loss of Attachment: Lower right central incisor (CI) distal - lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX25PCL,,Loss of Attachment: Lower right central incisor (CI) mid- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX25PCA,,Loss of Attachment: Lower right central incisor (CI) mesio- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX25LAD,,Loss of Attachment: Lower right central incisor (CI) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX25LAM,,Loss of Attachment: Lower right central incisor (CI) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX25LAS,,Loss of Attachment: Lower right central incisor (CI) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX25LAP,,Loss of Attachment: Lower right central incisor (CI) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX25LAL,,Loss of Attachment: Lower right central incisor (CI) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX25LAA,,Loss of Attachment: Lower right central incisor (CI) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX26CJD,,Loss of Attachment: Lower right lateral incisor (LI) distal - FGM to CEJ measurement (mm),x,,
,OHX26CJM,,Loss of Attachment: Lower right lateral incisor (LI) mid-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX26CJS,,Loss of Attachment: Lower right lateral incisor (LI) mesio-facial - FGM to CEJ measurement (mm),x,,
,OHX26CJP,,Loss of Attachment: Lower right lateral incisor (LI) distal - lingual - FGM to CEJ measurement (mm),x,,
,OHX26CJL,,Loss of Attachment: Lower right lateral incisor (LI) mid- lingual - FGM to CEJ measurement (mm),x,,
,OHX26CJA,,Loss of Attachment: Lower right lateral incisor (LI) mesio- lingual - FGM to CEJ measurement (mm),x,,
,OHX26PCD,,Loss of Attachment: Lower right lateral incisor (LI) distal - FGM to sulcus base (pocket depth) (mm),x,,
,OHX26PCM,,Loss of Attachment: Lower right lateral incisor (LI) mid-facial - FGM to CEJ measurement (mm),x,,
,OHX26PCS,,Loss of Attachment: Lower right lateral incisor (LI) mesio-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX26PCP,,Loss of Attachment: Lower right lateral incisor (LI) distal - lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX26PCL,,Loss of Attachment: Lower right lateral incisor (LI) mid- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX26PCA,,Loss of Attachment: Lower right lateral incisor (LI) mesio- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX26LAD,,Loss of Attachment: Lower right lateral incisor (LI) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX26LAM,,Loss of Attachment: Lower right lateral incisor (LI) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX26LAS,,Loss of Attachment: Lower right lateral incisor (LI) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX26LAP,,Loss of Attachment: Lower right lateral incisor (LI) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX26LAL,,Loss of Attachment: Lower right lateral incisor (LI) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX26LAA,,Loss of Attachment: Lower right lateral incisor (LI) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX27CJD,,Loss of Attachment: Lower right cuspid (C) distal - FGM to CEJ measurement (mm),x,,
,OHX27CJM,,Loss of Attachment: Lower right cuspid (C) mid-facial - FGM to CEJ measurement (mm),x,,
,OHX27CJS,,Loss of Attachment: Lower right cuspid (C) mesio-facial - FGM to CEJ measurement (mm),x,,
,OHX27CJP,,Loss of Attachment: Lower right cuspid (C) distal - lingual - FGM to CEJ measurement (mm),x,,
,OHX27CJL,,Loss of Attachment: Lower right cuspid (C) mid- lingual - FGM to CEJ measurement (mm),x,,
,OHX27CJA,,Loss of Attachment: Lower right cuspid (C) mesio- lingual - FGM to CEJ measurement (mm),x,,
,OHX27PCD,,Loss of Attachment: Lower right cuspid (C) distal - FGM to sulcus base (pocket depth) (mm),x,,
,OHX27PCM,,Loss of Attachment: Lower right cuspid (C) mid-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX27PCS,,Loss of Attachment: Lower right cuspid (C) mesio-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX27PCP,,Loss of Attachment: Lower right cuspid (C) distal - lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX27PCA,,Loss of Attachment: Lower right cuspid (C) mesio- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX27LAD,,Loss of Attachment: Lower right cuspid (C) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX27LAM,,Loss of Attachment: Lower right cuspid (C) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX27LAS,,Loss of Attachment: Lower right cuspid (C) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX27LAP,,Loss of Attachment: Lower right cuspid (C) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX27LAL,,Loss of Attachment: Lower right cuspid (C) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX27LAA,,Loss of Attachment: Lower right cuspid (C) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX28CJD,,Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) distal - FGM to CEJ measurement (mm),x,,
,OHX28CJM,,Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) mid-facial - FGM to CEJ measurement (mm),x,,
,OHX28CJS,,Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to CEJ measurement (mm),x,,
,OHX28CJP,,Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) distal - lingual - FGM to CEJ measurement (mm),x,,
,OHX28CJL,,Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) mid- lingual - FGM to CEJ measurement (mm),x,,
,OHX28CJA,,Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) mesio- lingual - FGM to CEJ measurement (mm),x,,
,OHX28PCD,,Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) distal - FGM to sulcus base (pocket depth) (mm),x,,
,OHX28PCM,,Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) mid-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX28PCS,,Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX28PCP,,Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) distal - lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX28PCL,,Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) mid- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX28PCA,,Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) mesio- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX28LAD,,Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX28LAM,,Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX28LAS,,Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX28LAP,,Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX28LAL,,Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX28LAA,,Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX29CJD,,Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) distal - FGM to CEJ measurement (mm),x,,
,OHX29CJM,,Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX29CJS,,Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to CEJ measurement (mm),x,,
,OHX29CJP,,Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to CEJ measurement (mm),x,,
,OHX29CJL,,Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to CEJ measurement (mm),x,,
,OHX29CJA,,Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to CEJ measurement (mm),x,,
,OHX29PCD,,Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) distal - FGM to sulcus base (pocket depth) (mm),x,,
,OHX29PCM,,Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to CEJ measurement (mm),x,,
,OHX29PCS,,Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX29PCP,,Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX29PCL,,Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX29PCA,,Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX29LAD,,Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX29LAM,,Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX29LAS,,Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX29LAP,,Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX29LAL,,Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX29LAA,,Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX30CJD,,Loss of Attachment: Lower right 1st molar (1M) distal - FGM to CEJ measurement (mm),x,,
,OHX30CJM,,Loss of Attachment: Lower right 1st molar (1M) mid-facial - FGM to CEJ measurement (mm),x,,
,OHX30CJS,,Loss of Attachment: Lower right 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm),x,,
,OHX30CJP,,Loss of Attachment: Lower right 1st molar (1M) distal - lingual - FGM to CEJ measurement (mm),x,,
,OHX30CJL,,Loss of Attachment: Lower right 1st molar (1M) mid- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX30CJA,,Loss of Attachment: Lower right 1st molar (1M) mesio- lingual - FGM to CEJ measurement (mm),x,,
,OHX30PCD,,Loss of Attachment: Lower right 1st molar (1M) distal - FGM to sulcus base (pocket depth) (mm),x,,
,OHX30PCM,,Loss of Attachment: Lower right 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX30PCS,,Loss of Attachment: Lower right 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX30PCP,,Loss of Attachment: Lower right 1st molar (1M) distal - lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX30PCA,,Loss of Attachment: Lower right 1st molar (1M) mesio- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX30LAD,,Loss of Attachment: Lower right 1st molar (1M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX30LAM,,Loss of Attachment: Lower right 1st molar (1M) mid-facial - LCalculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX30LAS,,Loss of Attachment: Lower right 1st molar (1M) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX30LAP,,Loss of Attachment: Lower right 1st molar (1M) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX30LAL,,Loss of Attachment: Lower right 1st molar (1M) mid- lingual - LCalculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX30LAA,,Loss of Attachment: Lower right 1st molar (1M) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX31CJD,,Loss of Attachment: Lower right 2nd molar (2M) distal - FGM to CEJ measurement (mm),x,,
,OHX31CJM,,Loss of Attachment: Lower right 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm),x,,
,OHX31CJS,,Loss of Attachment: Lower right 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm),x,,
,OHX31CJP,,Loss of Attachment: Lower right 2nd molar (2M) distal - lingual - FGM to CEJ measurement (mm),x,,
,OHX31CJL,,Loss of Attachment: Lower right 2nd molar (2M) mid- lingual - FGM to CEJ measurement (mm),x,,
,OHX31CJA,,Loss of Attachment: Lower right 2nd molar (2M) mesio- lingual - FGM to CEJ measurement (mm),x,,
,OHX31PCD,,Loss of Attachment: Lower right 2nd molar (2M) distal - FGM to sulcus base (pocket depth) (mm),x,,
,OHX31PCM,,Loss of Attachment: Lower right 2nd molar (2M) mid-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX31PCS,,Loss of Attachment: Lower right 2nd molar (2M) mesio-facial - FGM to sulcus base (pocket depth) (mm),x,,
,OHX31PCP,,Loss of Attachment: Lower right 2nd molar (2M) distal - lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX31PCL,,Loss of Attachment: Lower right 2nd molar (2M) mid- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX31PCA,,Loss of Attachment: Lower right 2nd molar (2M) mesio- lingual - FGM to sulcus base (pocket depth) (mm),x,,
,OHX31LAD,,Loss of Attachment: Lower right 2nd molar (2M) distal - Calculation of : (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX31LAM,,Loss of Attachment: Lower right 2nd molar (2M) mid-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX31LAS,,Loss of Attachment: Lower right 2nd molar (2M) mesio-facial - Calculation of : (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX31LAP,,Loss of Attachment: Lower right 2nd molar (2M) distal - lingual - Calculation of: (FGM to CEJ measurement) - (FGM to sulcus base measurement) (mm),x,,
,OHX31LAL,,Loss of Attachment: Lower right 2nd molar (2M) mid- lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
,OHX31LAA,,Loss of Attachment: Lower right 2nd molar (2M) mesio-lingual - Calculation of: (FGM to sulcus base measurement) - (FGM to CEJ measurement) (mm),x,,
',OHDRCSTS,""":'",Recommendation Care Status Code,,"',","'OHDRCSTS"":'Recommendation Care Status Code',"
',OHAREC,""":'",Overall recommendation for care,,"',","'OHAREC"":'Overall recommendation for care',"
',OHAROCDT,""":'",Decayed teeth,,"',","'OHAROCDT"":'Decayed teeth',"
',OHAROCGP,""":'",Gum disease/problem,,"',","'OHAROCGP"":'Gum disease/problem',"
',OHAROCOH,""":'",Oral hygiene,,"',","'OHAROCOH"":'Oral hygiene',"
',OHAROCCI,""":'",Clinical impression of soft tissue condition,,"',","'OHAROCCI"":'Clinical impression of soft tissue condition',"
',OHAROCDE,""":'",Denture/Partial Denture/Plates,,"',","'OHAROCDE"":'Denture/Partial Denture/Plates',"
',OHARNF,""":'",No significant findings,,"',","'OHARNF"":'No significant findings',"
',OHAROTH,""":'",Some other finding (specify w/referral letter),,"',","'OHAROTH"":'Some other finding (specify w/referral letter)',"
',OHAPOS,""":'",Was the SP in a recumbent (laying down) position for all eligible assessments of the oral health exam?,,"',","'OHAPOS"":'Was the SP in a recumbent (laying down) position for all eligible assessments of the oral health exam?',"
',CSXEXSTS,""":'",Overall Status for the MEC Taste & Smell Examination,,"',","'CSXEXSTS"":'Overall Status for the MEC Taste & Smell Examination',"
',CSXEXCMT,""":'",Comment Code for the MEC Taste & Smell Examination,,"',","'CSXEXCMT"":'Comment Code for the MEC Taste & Smell Examination',"
',CSQ245,""":'",Have you ever had a skin rash or allergy caused by quinine?,,"',","'CSQ245"":'Have you ever had a skin rash or allergy caused by quinine?',"
',CSQ241,""":'",Are you currently pregnant or breast feeding a baby?,,"',","'CSQ241"":'Are you currently pregnant or breast feeding a baby?',"
',CSQ260a,""":'",Do you now have any of the following problems with your nose? Sneeze Frequently?,,"',","'CSQ260a"":'Do you now have any of the following problems with your nose? Sneeze Frequently?',"
',CSQ260d,""":'","Do you now have any of the following problems with your nose? Green, Yellow or Brown Mucus Discharge?",,"',","'CSQ260d"":'Do you now have any of the following problems with your nose? Green, Yellow or Brown Mucus Discharge?',"
',CSQ260g,""":'",Do you now have any of the following problems with your nose? Completely blocked up nose,,"',","'CSQ260g"":'Do you now have any of the following problems with your nose? Completely blocked up nose',"
',CSQ260i,""":'",Do you now have any of the following problems with your nose? Sinus Pain?,,"',","'CSQ260i"":'Do you now have any of the following problems with your nose? Sinus Pain?',"
',CSQ260n,""":'",Do you now have any of the following problems with your nose? A Runny Nose?,,"',","'CSQ260n"":'Do you now have any of the following problems with your nose? A Runny Nose?',"
',CSQ260m,""":'",Do you now have any of the following problems with your nose? None of the above?,,"',","'CSQ260m"":'Do you now have any of the following problems with your nose? None of the above?',"
',CSQ270,""":'","Was {your/SPs} nose blocked up on both sides, or on just one side?",,"',","'CSQ270"":'Was {your/SPs} nose blocked up on both sides, or on just one side?',"
',CSQ450,""":'",First practice light 85 candelas/ m2 (low intermediate light),,"',","'CSQ450"":'First practice light 85 candelas/ m2 (low intermediate light)',"
',CSQ460,""":'",Second practice light 493 candelas/ m2 (high intermediate light),,"',","'CSQ460"":'Second practice light 493 candelas/ m2 (high intermediate light)',"
',CSQ470,""":'",First test light 193 candelas/ m2 (medium light level),,"',","'CSQ470"":'First test light 193 candelas/ m2 (medium light level)',"
',CSQ480,""":'",Second test light 4.3 candelas/ m2 (low light level),,"',","'CSQ480"":'Second test light 4.3 candelas/ m2 (low light level)',"
',CSQ490,""":'",Third test light 1000 candelas/ m2 (high light level),,"',","'CSQ490"":'Third test light 1000 candelas/ m2 (high light level)',"
',CSXQUIPG,""":'",gLMS rating for bitter when 1 mM quinine solution is painted on the tongue tip.,,"',","'CSXQUIPG"":'gLMS rating for bitter when 1 mM quinine solution is painted on the tongue tip.',"
',CSXQUIPT,""":'",Name of substance examinee tasted when 1mM quinine was painted on the tongue tip.,,"',","'CSXQUIPT"":'Name of substance examinee tasted when 1mM quinine was painted on the tongue tip.',"
',CSXNAPG,""":'",gLMS rating when 1M NaCl solution is painted on the tongue tip.,,"',","'CSXNAPG"":'gLMS rating when 1M NaCl solution is painted on the tongue tip.',"
',CSXNAPT,""":'",Name of substance examinee tasted when 1M NaCl was painted on the tongue tip.,,"',","'CSXNAPT"":'Name of substance examinee tasted when 1M NaCl was painted on the tongue tip.',"
',CSXQUISG,""":'",gLMS rating for bitter when 1 mM quinine solution is sampled with the whole mouth.,,"',","'CSXQUISG"":'gLMS rating for bitter when 1 mM quinine solution is sampled with the whole mouth.',"
',CSXQUIST,""":'",Name of substance examinee tasted when bitter taste 1 (1 mM quinine) was sampled in the whole mouth.,,"',","'CSXQUIST"":'Name of substance examinee tasted when bitter taste 1 (1 mM quinine) was sampled in the whole mouth.',"
',CSXSLTSG,""":'",gLMS rating for salty taste when 1M NaCl is sampled with the whole mouth.,,"',","'CSXSLTSG"":'gLMS rating for salty taste when 1M NaCl is sampled with the whole mouth.',"
',CSXSLTST,""":'",Name of substance examinee tasted when 1 M NaCl was sampled in the whole mouth.,,"',","'CSXSLTST"":'Name of substance examinee tasted when 1 M NaCl was sampled in the whole mouth.',"
',CSXNASG,""":'",gLMS rating when .32 M NaCl is sampled with the whole mouth.,,"',","'CSXNASG"":'gLMS rating when .32 M NaCl is sampled with the whole mouth.',"
',CSXNAST,""":'",Name of substance examinee tasted when .32 M NaCl was sampled in the whole mouth.,,"',","'CSXNAST"":'Name of substance examinee tasted when .32 M NaCl was sampled in the whole mouth.',"
',CSXTSEQ,""":'",Sequence in which whole mouth taste tests were administered.,,"',","'CSXTSEQ"":'Sequence in which whole mouth taste tests were administered.',"
',CSXCHOOD,""":'","Forced Choice Odor Selection, Chocolate Scent",,"',","'CSXCHOOD"":'Forced Choice Odor Selection, Chocolate Scent',"
',CSXSBOD,""":'","Forced Choice Odor Selection, Strawberry Scent",,"',","'CSXSBOD"":'Forced Choice Odor Selection, Strawberry Scent',"
',CSXSMKOD,""":'","Forced Choice Odor Selection, Smoke Scent",,"',","'CSXSMKOD"":'Forced Choice Odor Selection, Smoke Scent',"
